Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130246392813340, 1130246392814081, 1130246392840988, 1130246392854840, 1130246392880117, 1130246394039215, 8191
1130246394061474, 1130246394062086, 1130246394084900, 1130246394098048, 1130246394120826, 1130246395272757, 8192
1130246395291923, 1130246395292553, 1130246395313479, 1130246395326886, 1130246395349682, 1130246396520984, 8191
1130246396543057, 1130246396543761, 1130246396564724, 1130246396578057, 1130246396601631, 1130246397755599, 8192
1130246397775173, 1130246397775784, 1130246397796506, 1130246397810117, 1130246397834469, 1130246398985937, 8191
1130246399005363, 1130246399005974, 1130246399026603, 1130246399039696, 1130246399060881, 1130246400243312, 8192
1130246400264812, 1130246400265515, 1130246400288626, 1130246400301441, 1130246400326255, 1130246401481964, 8191
1130246401501983, 1130246401502612, 1130246401522242, 1130246401535371, 1130246401557056, 1130246402710636, 8192
1130246402729321, 1130246402730135, 1130246402751209, 1130246402767154, 1130246402795635, 1130246403985455, 8191
1130246404030380, 1130246404031232, 1130246404064528, 1130246404080046, 1130246404106324, 1130246405320236, 8192
1130246405353958, 1130246405354587, 1130246405388179, 1130246405402087, 1130246405431753, 1130246406603499, 8191
1130246406627054, 1130246406627665, 1130246406653869, 1130246406667276, 1130246406692535, 1130246407846670, 8192
1130246407867818, 1130246407868522, 1130246407892003, 1130246407905410, 1130246407931447, 1130246409129952, 8191
1130246409155248, 1130246409156044, 1130246409183507, 1130246409197358, 1130246409222414, 1130246410388734, 8192
1130246410411234, 1130246410411826, 1130246410434030, 1130246410447881, 1130246410472733, 1130246411626998, 8191
1130246411645257, 1130246411645831, 1130246411668423, 1130246411681534, 1130246411704256, 1130246412892502, 8192
1130246412915761, 1130246412916483, 1130246412938538, 1130246412952038, 1130246412977501, 1130246414214894, 8191
1130246414244227, 1130246414244931, 1130246414271801, 1130246414285819, 1130246414312708, 1130246415482769, 8192
1130246415504620, 1130246415505231, 1130246415527694, 1130246415541250, 1130246415566768, 1130246416763236, 8191
1130246416784847, 1130246416785458, 1130246416808087, 1130246416821198, 1130246416845550, 1130246418003648, 8192
1130246418024592, 1130246418025166, 1130246418047554, 1130246418060295, 1130246418084536, 1130246419241208, 8191
1130246419261448, 1130246419262041, 1130246419283578, 1130246419296800, 1130246419318410, 1130246420513064, 8192
1130246420537489, 1130246420538211, 1130246420562711, 1130246420576600, 1130246420603433, 1130246421864419, 8191
1130246421889455, 1130246421890307, 1130246421912659, 1130246421926103, 1130246421951195, 1130246423108942, 8192
1130246423129238, 1130246423129830, 1130246423151811, 1130246423165274, 1130246423190200, 1130246424393594, 8191
1130246424418056, 1130246424418649, 1130246424442760, 1130246424455537, 1130246424479185, 1130246425638802, 8192
1130246425660190, 1130246425660765, 1130246425681653, 1130246425694838, 1130246425718116, 1130246426869362, 8191
1130246426888269, 1130246426888880, 1130246426909306, 1130246426922324, 1130246426943657, 1130246428129162, 8192
1130246428151847, 1130246428152570, 1130246428174810, 1130246428188180, 1130246428213069, 1130246429368463, 8191
1130246429501388, 1130246429502239, 1130246429536961, 1130246429551794, 1130246429577220, 1130246430744855, 8192
1130246430767744, 1130246430768540, 1130246430790077, 1130246430803595, 1130246430828150, 1130246431981934, 8191
1130246432021359, 1130246432022007, 1130246432046563, 1130246432060229, 1130246432083858, 1130246433245123, 8192
1130246433266845, 1130246433267456, 1130246433289808, 1130246433303048, 1130246433328826, 1130246434480590, 8191
1130246434500109, 1130246434500720, 1130246434521127, 1130246434533905, 1130246434555664, 1130246435713558, 8192
1130246435735391, 1130246435736002, 1130246435757261, 1130246435770094, 1130246435792409, 1130246436983655, 8191
1130246437006321, 1130246437006914, 1130246437030728, 1130246437043895, 1130246437067839, 1130246438225307, 8192
1130246438244492, 1130246438245103, 1130246438266622, 1130246438279399, 1130246438302936, 1130246439457164, 8191
1130246439475515, 1130246439476145, 1130246439497089, 1130246439510256, 1130246439532144, 1130246440728816, 8192
1130246440753593, 1130246440754205, 1130246440777760, 1130246440791075, 1130246440815593, 1130246441972617, 8191
1130246441993246, 1130246441993894, 1130246442014487, 1130246442028042, 1130246442051190, 1130246443205955, 8192
1130246443225399, 1130246443226140, 1130246443246047, 1130246443259880, 1130246443283528, 1130246444467144, 8191
1130246444489033, 1130246444489662, 1130246444513051, 1130246444526699, 1130246444549643, 1130246445706389, 8192
1130246445727222, 1130246445727963, 1130246445749555, 1130246445763000, 1130246445786166, 1130246446935246, 8191
1130246446954005, 1130246446954597, 1130246446975097, 1130246446988430, 1130246447010819, 1130246448191454, 8192
1130246448214639, 1130246448215342, 1130246448236712, 1130246448250416, 1130246448276564, 1130246449430625, 8191
1130246449451402, 1130246449451995, 1130246449476476, 1130246449490420, 1130246449513050, 1130246450674481, 8192
