Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530245068406485, 530245068614149, 530245068680926, 530245068685667, 530245068792388, 530245098025273, 530245098034033, 530245098141383
530245098148902, 530245098367066, 530245098439250, 530245098444620, 530245098555156, 530245127805763, 530245127817615, 530245128027465
530245128039242, 530245128331109, 530245128408590, 530245128413905, 530245128545329, 530245157777511, 530245157785325, 530245157915102
530245157924879, 530245158155636, 530245158218228, 530245158223505, 530245158330541, 530245187553112, 530245187560130, 530245187663018
530245187669703, 530245187881293, 530245187947237, 530245187951718, 530245188083939, 530245217317917, 530245217326750, 530245217485989
530245217495341, 530245217755912, 530245217823633, 530245217828504, 530245217959465, 530245247224943, 530245247236424, 530245247445348
530245247455310, 530245247749659, 530245247825676, 530245247830991, 530245247960656, 530245277221078, 530245277233263, 530245277438817
530245277449446, 530245277724313, 530245277798738, 530245277803757, 530245277926941, 530245307175844, 530245307186863, 530245307391768
530245307402416, 530245307685894, 530245307757226, 530245307762189, 530245307896114, 530245337347904, 530245337711640, 530245337955490
530245337964360, 530245338272801, 530245338351541, 530245338357466, 530245338513742, 530245367812979, 530245367826701, 530245368076605
530245368085809, 530245368384880, 530245368464490, 530245368470453, 530245368597859, 530245399276894, 530245399290060, 530245399516002
530245399528280, 530245399820165, 530245399899868, 530245399904868, 530245400076885, 530245429309529, 530245429319511, 530245429530286
530245429542304, 530245429820931, 530245429895615, 530245429900504, 530245430031188, 530245459462348, 530245459478978, 530245459714327
530245459723549, 530245460099378, 530245460194210, 530245460199525, 530245460342394, 530245489617464, 530245489630890, 530245489855683
530245489865424, 530245490161495, 530245490228197, 530245490233475, 530245490371437, 530245519629340, 530245519641544, 530245519856245
530245519867856, 530245520192871, 530245520271018, 530245520276703, 530245520408090, 530245549669901, 530245549679697, 530245549891139
530245549903176, 530245550180821, 530245550255006, 530245550260117, 530245550385060, 530245579650000, 530245579659111, 530245579867887
530245579879016, 530245580186105, 530245580258215, 530245580263308, 530245580393769, 530245609671895, 530245609684302, 530245609913207
530245609922911, 530245610245796, 530245610333517, 530245610339035, 530245610485293, 530245640557317, 530245640567224, 530245640783296
530245640795258, 530245641095903, 530245641174976, 530245641182291, 530245641320252, 530245670666914, 530245670682544, 530245670913134
530245670922559, 530245671203223, 530245671278648, 530245671284814, 530245671411091, 530245700678457, 530245700690513, 530245700904788
530245700915732, 530245701197951, 530245701270598, 530245701275672, 530245701417467, 530245730695593, 530245730708093, 530245730918535
530245730927609, 530245731207605, 530245731286345, 530245731291567, 530245731413473, 530245760674025, 530245760685562, 530245760911374
530245760924781, 530245761231259, 530245761304110, 530245761309221, 530245761440886, 530245790693346, 530245790704290, 530245790921899
530245790932935, 530245791238525, 530245791318468, 530245791324357, 530245791462392, 530245821552749, 530245821565286, 530245821769302
530245821777932, 530245822058503, 530245822129557, 530245822134631, 530245822264482, 530245851538422, 530245851550589, 530245851760716
